source	target	strength
T00001	R02116	1.0
T00001	R03064	1.0
T00015	R01913	1.0
T00015	R09386	1.0
T00015	R00080	1.0
T00015	R01625	1.0
T00015	R00430	1.0
T00025	R02119	1.0
T00025	R02333	1.0
T00025	R02334	1.0
T00029	R00341	1.0
T00029	R00343	1.0
T00029	R00345	1.0
T00029	R00368	1.0
T00029	R02120	1.0
T00029	R38301	1.0
T00029	R03082	1.0
T00029	R03540	1.0
T00029	R20747	1.0
T00029	R20934	1.0
T00029	R22753	1.0
T00029	R24605	1.0
T00029	R24899	1.0
T00029	R25201	1.0
T00029	R25228	1.0
T00029	R29400	1.0
T00029	R25003	1.0
T00029	R25123	1.0
T00029	R01777	1.0
T00029	R01776	1.0
T00029	R58707	1.0
T00029	R16634	1.0
T00029	R37283	1.0
T00029	R00637	1.0
T00029	R00805	1.0
T00029	R00806	1.0
T00029	R01910	1.0
T00029	R00695	1.0
T00029	R00736	1.0
T00029	R00742	1.0
T00029	R03489	1.0
T00029	R37102	1.0
T00029	R37104	1.0
T00029	R60543	1.0
T00029	R03445	1.0
T00029	R29736	1.0
T00029	R38072	1.0
T00029	R33980	1.0
T00029	R14437	1.0
T00029	R02420	1.0
T00029	R30259	1.0
T00029	R26587	1.0
T00029	R14639	1.0
T00029	R21073	1.0
T00029	R03479	1.0
T00029	R30001	1.0
T00029	R04348	1.0
T00029	R25298	1.0
T00029	R26591	1.0
T00029	R69662	1.0
T00029	R40200	1.0
T00029	R27017	1.0
T00029	R27033	1.0
T00029	R58464	1.0
T00029	R60639	1.0
T00029	R26703	1.0
T00029	R24119	1.0
T00029	R30365	1.0
T00029	R04957	1.0
T00029	R05033	1.0
T00029	R05083	1.0
T00029	R05089	1.0
T00029	R05091	1.0
T00029	R05093	1.0
T00029	R38447	1.0
T00029	R33933	1.0
T00029	R15911	1.0
T00029	R22858	1.0
T00029	R32166	1.0
T00029	R32268	1.0
T00029	R32269	1.0
T00029	R32270	1.0
T00029	R04127	1.0
T00029	R27235	1.0
T00029	R27237	1.0
T00029	R20982	1.0
T00029	R20983	1.0
T00029	R41977	1.0
T00029	R00468	1.0
T00029	R16117	1.0
T00029	R65199	1.0
T00029	R21561	1.0
T00029	R18535	1.0
T00029	R04125	1.0
T00029	R14730	1.0
T00029	R35709	1.0
T00029	R35710	1.0
T00029	R60702	1.0
T00029	R60717	1.0
T00029	R60730	1.0
T00029	R60731	1.0
T00029	R33357	1.0
T00029	R39947	1.0
T00029	R02887	1.0
T00029	R03439	1.0
T00029	R03440	1.0
T00029	R14767	1.0
T00029	R24872	1.0
T00029	R35822	1.0
T00029	R28305	1.0
T00029	R28478	1.0
T00029	R28479	1.0
T00029	R29722	1.0
T00029	R04951	1.0
T00029	R29093	1.0
T00029	R30078	1.0
T00029	R30077	1.0
T00029	R03522	1.0
T00029	R25249	1.0
T00029	R02734	1.0
T00029	R05071	1.0
T00029	R25018	1.0
T00029	R23538	1.0
T00029	R25803	1.0
T00029	R26674	1.0
T00029	R30084	1.0
T00029	R31024	1.0
T00029	R13244	1.0
T00029	R13245	1.0
T00029	R28556	1.0
T00029	R14724	1.0
T00029	R14725	1.0
T00029	R00957	1.0
T00029	R00960	1.0
T00029	R14786	1.0
T00029	R31793	1.0
T00029	R34314	1.0
T00029	R14782	1.0
T00029	R40155	1.0
T00029	R25271	1.0
T00029	R69393	1.0
T00029	R69394	1.0
T00029	R42012	1.0
T00029	R25807	1.0
T00029	R26772	1.0
T00029	R00235	1.0
T00029	R09882	1.0
T00029	R25170	1.0
T00029	R26528	1.0
T00029	R30492	1.0
T00029	R30981	1.0
T00029	R39625	1.0
T00029	R32960	1.0
T00029	R03059	1.0
T00029	R24597	1.0
T00029	R33823	1.0
T00029	R37117	1.0
T00029	R60548	1.0
T00029	R01036	1.0
T00029	R01037	1.0
T00029	R02571	1.0
T00029	R27224	1.0
T00029	R27225	1.0
T00029	R27226	1.0
T00029	R27227	1.0
T00029	R68607	1.0
T00029	R18404	1.0
T00029	R22366	1.0
T00029	R22367	1.0
T00029	R55990	1.0
T00029	R02028	1.0
T00029	R58850	1.0
T00029	R20641	1.0
T00029	R11383	1.0
T00029	R42477	1.0
T00029	R01249	1.0
T00029	R29415	1.0
T00029	R56234	1.0
T00029	R01258	1.0
T00029	R08493	1.0
T00029	R08494	1.0
