source	target	strength
T00029	R01394	0.98
T00029	R01412	0.98
T00029	R60810	0.98
T00029	R60813	0.98
T00029	R01567	0.98
T00035	R02121	0.98
T00035	R05065	0.98
T00035	R17075	0.98
T00035	R16376	0.98
T00035	R16377	0.98
T00035	R16378	0.98
T00035	R16379	0.98
T00035	R16380	0.98
T00035	R16381	0.98
T00035	R16382	0.98
T00035	R16383	0.98
T00035	R16384	0.98
T00035	R16385	0.98
T00035	R16386	0.98
T00035	R16387	0.98
T00035	R16388	0.98
T00035	R16389	0.98
T00035	R16390	0.98
T00035	R16391	0.98
T00035	R16392	0.98
T00035	R16393	0.98
T00035	R16394	0.98
T00035	R16395	0.98
T00035	R16396	0.98
T00035	R16397	0.98
T00035	R16398	0.98
T00035	R16399	0.98
T00035	R16400	0.98
T00035	R16401	0.98
T00035	R16402	0.98
T00035	R16403	0.98
T00035	R16404	0.98
T00035	R16405	0.98
T00035	R16406	0.98
T00035	R16407	0.98
T00035	R16408	0.98
T00035	R16409	0.98
T00035	R16410	0.98
T00035	R16411	0.98
T00035	R16412	0.98
T00035	R16413	0.98
T00035	R16414	0.98
T00035	R16415	0.98
T00035	R16416	0.98
T00035	R16417	0.98
T00035	R16418	0.98
T00035	R16419	0.98
T00035	R16420	0.98
T00035	R16421	0.98
T00035	R16422	0.98
T00035	R16423	0.98
T00035	R16424	0.98
T00035	R16425	0.98
T00035	R16426	0.98
T00035	R16427	0.98
T00035	R16428	0.98
T00035	R16429	0.98
T00035	R16430	0.98
T00035	R16431	0.98
T00035	R16432	0.98
T00035	R16433	0.98
T00035	R16434	0.98
T00035	R16435	0.98
T00035	R16436	0.98
T00035	R16437	0.98
T00035	R16438	0.98
T00035	R16439	0.98
T00035	R16440	0.98
T00035	R16441	0.98
T00035	R16442	0.98
T00035	R16443	0.98
T00035	R16444	0.98
T00035	R16445	0.98
T00035	R16474	0.98
T00035	R16475	0.98
T00035	R16476	0.98
T00035	R16477	0.98
T00035	R16478	0.98
T00035	R16479	0.98
T00035	R16480	0.98
T00035	R16481	0.98
T00035	R16482	0.98
T00035	R16483	0.98
T00035	R16484	0.98
T00035	R16485	0.98
T00035	R00183	0.98
T00035	R11590	0.98
T00035	R03661	0.98
T00035	R03666	0.98
T00035	R02425	0.98
T00035	R04453	0.98
T00035	R16620	0.98
T00035	R04379	0.98
T00035	R21772	0.98
T00035	R18709	0.98
T00035	R18721	0.98
T00035	R18723	0.98
T00035	R18725	0.98
T00035	R14555	0.98
T00035	R04125	0.98
T00035	R04126	0.98
T00035	R00608	0.98
T00035	R16596	0.98
T00035	R18701	0.98
T00035	R13305	0.98
T00035	R04952	0.98
T00035	R00958	0.98
T00035	R00959	0.98
T00035	R17074	0.98
T00035	R03674	0.98
T00035	R21377	0.98
T00035	R21378	0.98
T00035	R04999	0.98
T00035	R05002	0.98
T00035	R63598	0.98
T00035	R63625	0.98
T00035	R02462	0.98
T00035	R05043	0.98
T00035	R01031	0.98
T00035	R01032	0.98
T00035	R01034	0.98
T00035	R01035	0.98
T00035	R16374	0.98
T00035	R18717	0.98
T00035	R01157	0.98
T00035	R01158	0.98
T00035	R04415	0.98
T00035	R01261	0.98
T00035	R18832	0.98
T00035	R18833	0.98
T00035	R16994	0.98
T00035	R16997	0.98
T00035	R16998	0.98
T00035	R16999	0.98
T00035	R17000	0.98
T00035	R17001	0.98
T00035	R17002	0.98
T00035	R17003	0.98
T00035	R17004	0.98
T00035	R17005	0.98
T00035	R17006	0.98
T00035	R17007	0.98
T00035	R17008	0.98
T00035	R17009	0.98
T00035	R02795	0.98
T00035	R02698	0.98
T00035	R02701	0.98
T00035	R02702	0.98
T00035	R02190	0.98
T00035	R08502	0.98
T00035	R01054	0.98
T00035	R01055	0.98
T00035	R16599	0.98
T00035	R04670	0.98
T00035	R08882	0.98
T00035	R04414	0.98
T00035	R16618	0.98
T00035	R16619	0.98
T00035	R01390	0.98
T00035	R01404	0.98
T00036	R02076	0.98
T00036	R05143	0.98
T00036	R05144	0.98
T00036	R05145	0.98
T00036	R05146	0.98
T00036	R05147	0.98
T00036	R22717	0.98
T00036	R22715	0.98
T00036	R34715	0.98
T00036	R35889	0.98
T00036	R35891	0.98
T00036	R60693	0.98
T00036	R60694	0.98
T00036	R34333	0.98
T00036	R63507	0.98
T00036	R01038	0.98
T00036	R41148	0.98
T00036	R01259	0.98
T00036	R64492	0.98
T00036	R37330	0.98
T00036	R22516	0.98
T00036	R01227	0.98
T00036	R01240	0.98
T00036	R02378	0.98
T00036	R01416	0.98
T00036	R01567	0.98
T00037	R03900	0.98
T00037	R01417	0.98
T00038	R01411	0.98
T00039	R02122	0.98
T00039	R56806	0.98
T00039	R02951	0.98
T00039	R03696	0.98
T00039	R03697	0.98
T00039	R03698	0.98
T00039	R01395	0.98
T00039	R01398	0.98
T00039	R56814	0.98
T00040	R02124	0.98
T00040	R10326	0.98
T00040	R68923	0.98
T00040	R68925	0.98
T00040	R37853	0.98
T00040	R37857	0.98
T00040	R64209	0.98
T00040	R68926	0.98
T00040	R68927	0.98
T00040	R69456	0.98
T00040	R31237	0.98
T00040	R31241	0.98
T00040	R32438	0.98
T00040	R37995	0.98
T00040	R14312	0.98
T00040	R67722	0.98
T00040	R68928	0.98
T00040	R65921	0.98
T00040	R67068	0.98
T00040	R32462	0.98
T00040	R31628	0.98
T00040	R31629	0.98
T00040	R68929	0.98
T00040	R68930	0.98
T00040	R60756	0.98
T00040	R31773	0.98
T00040	R55746	0.98
T00040	R09458	0.98
T00040	R64442	0.98
T00040	R57492	0.98
T00040	R34889	0.98
T00040	R34890	0.98
T00040	R28699	0.98
T00040	R68931	0.98
T00040	R68934	0.98
T00040	R64439	0.98
T00040	R14261	0.98
T00040	R14264	0.98
T00040	R24833	0.98
T00040	R34747	0.98
T00040	R34878	0.98
T00040	R39324	0.98
T00040	R64434	0.98
T00040	R69767	0.98
T00040	R34875	0.98
T00040	R65042	0.98
T00040	R41500	0.98
T00040	R41501	0.98
T00040	R41502	0.98
T00040	R64283	0.98
T00040	R64288	0.98
T00040	R68936	0.98
T00040	R68939	0.98
T00040	R69457	0.98
T00040	R69458	0.98
T00040	R69459	0.98
T00040	R67681	0.98
T00040	R63186	0.98
T00040	R69460	0.98
T00040	R63163	0.98
T00040	R39274	0.98
T00040	R28692	0.98
T00040	R28693	0.98
T00040	R59200	0.98
T00040	R69907	0.98
T00040	R69908	0.98
T00040	R34744	0.98
T00040	R34745	0.98
T00040	R65536	0.98
T00040	R37851	0.98
T00040	R40671	0.98
T00040	R14294	0.98
T00040	R59568	0.98
T00040	R59570	0.98
T00040	R35633	0.98
T00040	R32428	0.98
T00040	R31666	0.98
T00040	R32450	0.98
T00040	R68941	0.98
T00040	R60516	0.98
T00040	R37573	0.98
T00040	R57172	0.98
T00040	R34617	0.98
T00040	R37855	0.98
T00040	R64416	0.98
T00040	R37858	0.98
T00040	R61696	0.98
T00040	R61697	0.98
T00040	R61695	0.98
T00040	R37576	0.98
T00040	R37579	0.98
T00040	R14301	0.98
T00040	R14272	0.98
T00040	R14276	0.98
T00040	R14278	0.98
T00040	R63201	0.98
T00040	R63205	0.98
T00040	R57486	0.98
T00040	R57502	0.98
T00040	R63194	0.98
T00040	R63193	0.98
T00040	R14300	0.98
T00040	R67251	0.98
T00040	R67252	0.98
T00040	R14308	0.98
T00040	R63262	0.98
T00040	R63263	0.98
T00040	R63264	0.98
T00040	R32041	0.98
T00040	R14287	0.98
T00040	R26023	0.98
T00045	R07372	0.98
T00045	R07373	0.98
T00045	R07374	0.98
T00045	R07375	0.98
T00045	R07376	0.98
T00045	R07377	0.98
T00045	R07378	0.98
T00045	R33846	0.98
T00045	R01193	0.98
T00045	R00135	0.98
T00045	R01612	0.98
T00045	R16068	0.98
T00045	R20745	0.98
T00045	R22497	0.98
T00045	R13058	0.98
T00045	R27532	0.98
T00045	R58469	0.98
T00045	R58486	0.98
T00045	R20457	0.98
T00045	R24217	0.98
T00045	R20731	0.98
T00045	R15902	0.98
T00045	R15904	0.98
T00045	R65573	0.98
T00045	R63216	0.98
T00045	R65572	0.98
T00045	R13048	0.98
T00045	R23882	0.98
T00045	R65574	0.98
T00045	R34123	0.98
T00045	R38971	0.98
T00045	R40237	0.98
T00045	R16929	0.98
T00045	R33850	0.98
T00045	R61349	0.98
T00045	R00912	0.98
T00048	R09386	0.98
T00051	R00322	0.98
T00051	R00343	0.98
T00051	R00350	0.98
T00051	R00352	0.98
T00051	R00359	0.98
T00051	R00360	0.98
T00051	R00362	0.98
T00051	R02403	0.98
T00051	R03430	0.98
T00051	R01990	0.98
T00051	R01992	0.98
T00051	R01997	0.98
T00051	R03431	0.98
T00051	R03432	0.98
T00051	R03433	0.98
T00051	R26366	0.98
T00051	R02126	0.98
T00051	R00807	0.98
T00051	R04357	0.98
T00051	R34860	0.98
T00051	R00468	0.98
T00051	R00592	0.98
T00051	R39945	0.98
T00051	R24998	0.98
T00051	R23826	0.98
T00051	R02812	0.98
T00051	R21507	0.98
T00051	R24499	0.98
T00051	R01562	0.98
T00051	R20199	0.98
T00051	R01053	0.98
T00051	R01062	0.98
T00051	R37905	0.98
T00051	R03001	0.98
T00051	R02658	0.98
T00051	R01492	0.98
T00052	R00322	0.98
T00052	R02126	0.98
T00053	R02126	0.98
T00065	R01098	0.98
T00065	R34614	0.98
T00065	R34826	0.98
T00065	R34828	0.98
T00065	R31136	0.98
T00065	R31137	0.98
T00065	R31140	0.98
T00065	R31141	0.98
T00066	R01903	0.98
T00066	R01904	0.98
T00067	R01904	0.98
T00070	R37605	0.98
T00070	R57913	0.98
T00070	R04285	0.98
T00070	R04286	0.98
T00070	R38866	0.98
T00070	R35731	0.98
T00070	R67123	0.98
T00070	R67139	0.98
T00070	R67140	0.98
T00070	R67141	0.98
T00070	R24137	0.98
T00070	R24138	0.98
T00070	R37548	0.98
T00070	R39327	0.98
T00070	R29684	0.98
T00070	R41906	0.98
T00070	R38791	0.98
T00070	R13323	0.98
T00070	R28953	0.98
T00070	R37616	0.98
T00070	R37617	0.98
T00070	R04583	0.98
T00070	R04584	0.98
T00070	R01666	0.98
T00070	R01667	0.98
T00070	R01662	0.98
T00070	R01663	0.98
T00073	R00563	0.98
T00073	R35642	0.98
T00073	R35651	0.98
T00073	R35659	0.98
T00073	R35662	0.98
T00073	R35666	0.98
T00073	R35676	0.98
T00073	R35680	0.98
T00073	R35684	0.98
T00074	R00559	0.98
T00075	R00559	0.98
T00077	R04243	0.98
T00077	R00531	0.98
T00077	R03663	0.98
T00077	R03666	0.98
T00077	R00520	0.98
T00077	R00560	0.98
T00077	R03441	0.98
T00077	R00596	0.98
T00077	R01474	0.98
T00081	R02848	0.98
T00081	R16627	0.98
T00085	R01002	0.98
T00085	R01757	0.98
T00086	R32596	0.98
T00094	R03066	0.98
T00094	R68080	0.98
T00094	R35719	0.98
T00094	R36382	0.98
T00094	R21374	0.98
T00094	R36383	0.98
T00094	R21847	0.98
T00094	R33640	0.98
T00094	R00765	0.98
T00094	R22804	0.98
T00094	R02028	0.98
T00094	R27232	0.98
T00094	R14297	0.98
T00094	R33159	0.98
T00094	R26295	0.98
T00094	R26297	0.98
T00094	R35499	0.98
T00094	R55946	0.98
T00094	R28254	0.98
T00094	R30032	0.98
T00094	R31313	0.98
T00097	R02378	0.98
T00098	R02379	0.98
T00100	R20770	0.98
T00100	R04681	0.98
T00100	R04723	0.98
T00100	R04721	0.98
T00100	R04720	0.98
T00100	R55733	0.98
T00100	R35714	0.98
T00100	R58458	0.98
T00100	R34456	0.98
T00100	R03477	0.98
T00100	R20791	0.98
T00100	R20793	0.98
T00100	R20794	0.98
T00100	R20999	0.98
T00100	R21008	0.98
T00100	R35837	0.98
T00100	R61202	0.98
T00100	R61204	0.98
T00100	R61205	0.98
T00100	R61207	0.98
T00100	R00562	0.98
T00100	R60669	0.98
T00100	R34455	0.98
T00100	R61174	0.98
T00100	R61189	0.98
T00100	R36022	0.98
T00100	R35914	0.98
T00100	R25883	0.98
T00100	R61213	0.98
T00100	R61214	0.98
T00100	R01677	0.98
T00100	R35825	0.98
T00102	R02131	0.98
T00102	R00602	0.98
T00102	R00935	0.98
T00102	R03673	0.98
T00102	R30934	0.98
T00102	R02682	0.98
T00105	R26350	0.98
T00105	R04246	0.98
T00105	R04247	0.98
T00105	R04592	0.98
T00105	R04911	0.98
T00105	R04603	0.98
T00105	R60851	0.98
T00105	R60853	0.98
T00105	R64858	0.98
T00105	R29895	0.98
T00105	R20226	0.98
T00105	R20228	0.98
